1.000000000000000000e+00 4.686525344848632812e+00 4.686524868011474609e+00 9.999998807907104492e-01 4.686525344848632812e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01
2.000000000000000000e+00 1.796103000640869141e+00 1.778081417083740234e+00 9.899662733078002930e-01 1.782032608985900879e+00 9.921661615371704102e-01 1.000000000000000000e+00 9.995255470275878906e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.665233016014099121e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
3.000000000000000000e+00 1.250671982765197754e+00 1.242426633834838867e+00 9.934072494506835938e-01 1.242521524429321289e+00 9.934831261634826660e-01 2.500000000000000000e-01 9.996110200881958008e-01 2.500058412551879883e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00
4.000000000000000000e+00 3.283215045928955078e+00 3.283214807510375977e+00 9.999999403953552246e-01 3.283215045928955078e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500001192092895508e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00
5.000000000000000000e+00 1.179002404212951660e+00 8.213564157485961914e-01 6.966537237167358398e-01 8.213562369346618652e-01 6.966535449028015137e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000298023223877e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
6.000000000000000000e+00 4.455392360687255859e-01 3.581422567367553711e-01 8.038399815559387207e-01 3.546365499496459961e-01 7.959715127944946289e-01 2.500000000000000000e-01 3.029897809028625488e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00
7.000000000000000000e+00 3.207942962646484375e+00 3.207942724227905273e+00 9.999999403953552246e-01 3.207942962646484375e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01
8.000000000000000000e+00 5.674795627593994141e+00 5.674795627593994141e+00 1.000000000000000000e+00 5.674795627593994141e+00 1.000000000000000000e+00 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500103414058685303e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
9.000000000000000000e+00 1.238204717636108398e+00 1.231789827346801758e+00 9.948192238807678223e-01 1.231789946556091309e+00 9.948192834854125977e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01
1.000000000000000000e+01 7.207672119140625000e+00 7.207517147064208984e+00 9.999784827232360840e-01 7.207672595977783203e+00 1.000000119209289551e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.514789402484893799e-01 2.500010430812835693e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01
1.100000000000000000e+01 3.031604051589965820e+00 3.031604528427124023e+00 1.000000119209289551e+00 3.031604051589965820e+00 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01 1.000000000000000000e+00 2.500000000000000000e-01 2.500000000000000000e-01 2.500000000000000000e-01
