method,avg_sum_rate_bpcu,median_sum_rate_bpcu,avg_reliable_bits_per_sample
Full-search,7.995967293953949,7.291655210626007,79959.6729395395
Supervised DNN,7.553212133188486,6.97337811238566,75532.12133188487
Unsupervised DNN hard,7.4058684685063225,6.872897663465979,74058.68468506323
DQN,7.216300999771717,6.5647941507148335,72163.00999771718
Random,2.7313031282335265,1.8285338433962588,27313.031282335265
All-max,2.637914531017848,1.7257318210369643,26379.145310178472
