1.000000000000000000e+00 4.686525204669372761e+04 4.686525204669372761e+04 4.686525204669372761e+04 2.561374913909608586e+04 2.193945821800587510e+04 2.473569569705261529e+04
2.000000000000000000e+00 1.796103042395002558e+04 1.796103042395002558e+04 1.782032634098089329e+04 1.716433017432957786e+04 9.284494607950608042e+03 9.424650585435840185e+03
3.000000000000000000e+00 1.250672042021770903e+04 1.242521506253301413e+04 1.242521506253301413e+04 8.148557146790726620e+03 6.836558144719344455e+03 7.676111291240687933e+03
4.000000000000000000e+00 3.283214989213996887e+04 3.283214989213996887e+04 3.283214989213996887e+04 2.701695546764341634e+04 2.467392225377879367e+04 1.799319428037170292e+04
5.000000000000000000e+00 1.179002462771323371e+04 1.179002462771323371e+04 8.213562282237422551e+03 7.689659869853679083e+03 4.045466660513240640e+03 5.655852414698028042e+03
6.000000000000000000e+00 4.455392260603898649e+03 4.050247724992280382e+03 3.546365300261231823e+03 2.422838994908607219e+03 1.974734792125563672e+03 2.207412679345658944e+03
7.000000000000000000e+00 3.207942907169810860e+04 3.207942907169810860e+04 3.207942907169810860e+04 2.724557158745896595e+04 1.687948774254384261e+04 1.746140133518075891e+04
8.000000000000000000e+00 5.674795863183688198e+04 5.257711951841942937e+04 5.674795863183688198e+04 5.651828385840472765e+04 2.970408809516638939e+04 4.106364233476877416e+04
9.000000000000000000e+00 1.238204745212380476e+04 1.231789915342185486e+04 1.231789915342185486e+04 5.249831299350473273e+03 2.218488919256494228e+03 4.311039053515503838e+03
1.000000000000000000e+01 7.207672356523911003e+04 7.207672356523911003e+04 7.207672356523911003e+04 6.886562696433150268e+04 5.489958003123420349e+04 5.148433211656878848e+04
1.100000000000000000e+01 3.031604023487245286e+04 3.031604023487245286e+04 3.031604023487245286e+04 2.591115570742012642e+04 1.380197361023626945e+04 1.758180747017328395e+04
1.200000000000000000e+01 1.051696000888944982e+05 1.051696000888944982e+05 1.051696000888944982e+05 8.800122623955260497e+04 6.930346354932642134e+04 8.600109781087638112e+04
1.300000000000000000e+01 3.453800297891600349e+04 3.453800297891600349e+04 3.453800297891600349e+04 2.545449928271986573e+04 2.407103806609110325e+04 2.538673624295937771e+04
1.400000000000000000e+01 8.596681280186967342e+04 8.596681280186967342e+04 8.596681280186967342e+04 8.227826053485424200e+04 5.659466941665526974e+04 6.554437056753676734e+04
1.500000000000000000e+01 2.194158588574287205e+04 2.184233897659146896e+04 2.126745678176249567e+04 1.458032754902688794e+04 1.310286134097808099e+04 1.266621516320138471e+04
1.600000000000000000e+01 1.522687085072826449e+04 1.348645487020570181e+04 1.522687085072826449e+04 1.222343428250373654e+04 9.879919075648191210e+03 8.569879357440044259e+03
1.700000000000000000e+01 3.801520643329233280e+04 3.801520643329233280e+04 3.801520643329233280e+04 2.930640373070339410e+04 1.495646488384744407e+04 2.363012115496898332e+04
1.800000000000000000e+01 7.426744649955454224e+04 7.426744649955454224e+04 7.281550373825751012e+04 6.937969898062292486e+04 6.729247483647862100e+04 5.188219647630595864e+04
1.900000000000000000e+01 5.654067588543647435e+04 5.654067588543647435e+04 5.375554864550789353e+04 4.804111168453651044e+04 4.287776923585770419e+04 4.017671086581690906e+04
2.000000000000000000e+01 2.985157137086256625e+04 2.985157137086256625e+04 2.985157137086256625e+04 2.244558334240311524e+04 2.185442974203245831e+04 1.804331925896911707e+04
2.100000000000000000e+01 8.182062680091179573e+03 8.135641164044889592e+03 8.135641164044889592e+03 6.522280664100815557e+03 4.530712538234018211e+03 3.958566473829598181e+03
2.200000000000000000e+01 1.775708080036645333e+04 1.775708080036645333e+04 1.775708080036645333e+04 1.731487270866792460e+04 8.084331234588131338e+03 8.538917079595961695e+03
2.300000000000000000e+01 4.138526515686034691e+04 4.138526515686034691e+04 4.138526515686034691e+04 1.722658944131690077e+04 2.081745154244525474e+04 2.333614142359589459e+04
2.400000000000000000e+01 2.363890517487590114e+04 1.566467315599810536e+04 2.363890517487590114e+04 1.839793956756316402e+04 1.722604408780234371e+04 1.160361397343602039e+04
