1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999583786349788e-01 9.999999583786349788e-01 9.501047256709593825e-01 2.809499186147659255e-01 2.801372252948622354e-01
2.000000000000000000e+00 1.000000000000000000e+00 8.566441898255137133e-01 9.047951821858610799e-01 9.048983606490602627e-01 1.000000000000000000e+00 4.089298514832885867e-01 1.837220332111140497e-01
3.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000008118676620e+00 1.000000008118676620e+00 1.000000000000000000e+00 9.342854700646488486e-02 1.065150936497575584e-01
4.000000000000000000e+00 1.000000000000000000e+00 9.459047054626756879e-01 9.999999658962650528e-01 9.999999658962650528e-01 1.000000000000000000e+00 4.310959495936655395e-01 2.305179025472602894e-01
5.000000000000000000e+00 1.000000000000000000e+00 9.846539154373826763e-01 9.846539241149548927e-01 9.846539241149548927e-01 9.846539154373826763e-01 9.839259109534635728e-02 1.144357417259338899e-01
6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999229965503833e-01 9.999999936241488196e-01 1.000000000000000000e+00 1.908278017857878150e-01 6.539098465254516990e-02
7.000000000000000000e+00 1.000000000000000000e+00 9.909861653898132117e-01 9.999999683410784046e-01 9.999999683410784046e-01 8.857623823211530079e-01 3.496335390360511552e-01 2.819664958806534782e-01
8.000000000000000000e+00 1.000000000000000000e+00 8.291996092895853598e-01 8.296780699315224883e-01 8.291996120743199139e-01 6.161944728536280502e-01 1.314914408185932082e-01 5.174332736873427097e-01
9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.998886476989939931e-01 9.999999902438058141e-01 8.881808698277897651e-01 2.108544975663157600e-02 6.697520146632376936e-02
1.000000000000000000e+01 1.000000000000000000e+00 9.994193645194568987e-01 9.903123046035081645e-01 8.749330185935609849e-01 9.944863249072743994e-01 4.981942189916910846e-01 5.356581738504674339e-01
1.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999907315083592e-01 9.999999907315083592e-01 1.000000000000000000e+00 1.868855980881939383e-01 3.204581769288329385e-01
1.200000000000000000e+01 1.000000000000000000e+00 8.711847294518292317e-01 7.279609237255412202e-01 7.279608547671685415e-01 7.303882136514842083e-01 1.666268706435264924e-01 6.218575521043537835e-01
1.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000151230159062e+00 9.999999560073673521e-01 9.519940047855993681e-01 2.792165545415392081e-01 2.598407779591204170e-01
1.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999992226135245854e-01 1.000000032372550418e+00 9.482126564505287680e-01 2.892999684553779205e-01 6.183702658756786708e-01
1.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 4.487396219347387083e-01 4.619088408631871201e-01 9.255819741799286016e-01 1.679796828835860012e-01 1.835213306386388188e-01
1.600000000000000000e+01 1.000000000000000000e+00 9.811402107218885060e-01 9.955363045309086889e-01 1.000000015593861313e+00 8.517056596847332184e-01 1.378271960007390329e-01 1.182275900853073380e-01
1.700000000000000000e+01 1.000000000000000000e+00 9.481049323050986244e-01 9.999936452128808106e-01 1.000000025062413922e+00 9.891832462620815392e-01 8.412411808143796521e-02 3.951994271722840124e-01
1.800000000000000000e+01 1.000000000000000000e+00 9.608741840997707673e-01 9.596935442688988571e-01 9.596935442688988571e-01 9.165823531817363090e-01 7.157109827135967883e-01 5.015993647871079819e-01
1.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000014442526730e+00 1.000000014442526730e+00 9.302813153093397736e-01 3.955724577118783780e-01 4.071015637383549879e-01
2.000000000000000000e+01 1.000000000000000000e+00 2.278544351569289361e-01 4.266833381041783280e-02 0.000000000000000000e+00 7.756427418325120282e-01 5.072956191071356091e-01 3.132169350583132728e-01
2.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 4.225221621906992725e-08 0.000000000000000000e+00 1.000000000000000000e+00 1.158603330926481351e-01 9.725296230988211832e-02
2.200000000000000000e+01 1.000000000000000000e+00 8.908059778374164406e-01 8.652154970063609118e-01 8.652154970063609118e-01 8.652154810930440254e-01 2.040738391877145452e-01 1.805896219506429867e-01
2.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999963932169056e-01 9.999999963932169056e-01 8.982408901712345406e-01 1.182920408950685759e-01 2.376497455033374229e-01
2.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000012480292577e+00 1.000000012480292577e+00 1.000000000000000000e+00 2.287332999475784057e-01 1.468340662120437290e-01
2.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.343172461023848907e-01 8.197035669986192374e-01 7.789001964604125305e-01 2.203000988704559293e-01 3.378192396203286707e-01
2.600000000000000000e+01 1.000000000000000000e+00 5.737509942750795844e-01 9.999996154417805094e-01 9.999999903290669456e-01 9.667357850059867808e-01 2.306807514180889418e-01 1.769222662780142730e-01
2.700000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999997823274511255e-01 9.999999993520308772e-01 7.047662699145933463e-01 2.459589693259866816e-01 2.198690745569460425e-01
2.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.840503967986485856e-01 1.000000025963350803e+00 1.000000000000000000e+00 2.180981503159159229e-01 1.005842252279032928e-01
2.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.348645673543108492e-01 6.395804290019043714e-01 8.106338247042170764e-01 3.707272351227356433e-01 1.823866132926103556e-01
3.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999641021841690e-01 9.999999641021841690e-01 3.629214149689202196e-01 1.518765089742563079e-01 1.443691171827989339e-01
3.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999998438316335392e-01 9.999999509655932428e-01 8.127569117531376897e-01 7.507918216031485015e-01 5.197767012139196119e-01
3.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.755924814340600770e-01 9.999999731296852490e-01 1.000000000000000000e+00 2.446145044468398255e-01 1.125144652355805491e-01
3.300000000000000000e+01 1.000000000000000000e+00 7.298720311320755494e-01 9.999984015919565206e-01 9.999999670530025364e-01 8.420287434246116476e-01 3.728630622119039062e-01 2.193544245224533784e-01
3.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999786144015967e-01 9.999999786144015967e-01 9.309080251094989933e-01 4.647947440089474080e-02 7.208542876143576861e-02
3.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 5.610142356195251499e-03 0.000000000000000000e+00 9.637473649758555583e-01 4.526770155377705246e-02 6.298999556479246975e-02
3.600000000000000000e+01 1.000000000000000000e+00 9.029532686359533766e-01 9.029794083271905913e-01 9.029532666607840152e-01 7.568865234055474067e-01 4.694233882441599115e-01 4.896730670510197614e-01
3.700000000000000000e+01 1.000000000000000000e+00 7.588934595116365589e-01 5.680322375714068617e-01 5.601644672062953134e-01 7.595600214243234394e-01 4.479887693172097674e-01 6.492015870626767216e-01
3.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.094238965772120098e-01 9.094239829969541500e-01 5.338841528580626772e-01 2.650327069198561425e-01 2.039183584518315384e-01
3.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999987657375300e-01 9.999999987657375300e-01 1.000000000000000000e+00 3.812239857344509320e-01 2.678680401957976853e-01
4.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000001453142046692e+00 1.000000029743177921e+00 9.403782375332249144e-01 2.711233843945908828e-01 3.107977187658642615e-01
4.100000000000000000e+01 1.000000000000000000e+00 4.950876537924997489e-01 8.447611727431884529e-03 0.000000000000000000e+00 9.767239737900766938e-01 2.668987864249757272e-02 6.968859694034003349e-02
4.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000040399245282e+00 1.000000040399245282e+00 8.654312442194386223e-01 7.782743327987311222e-02 2.021912289428791365e-01
4.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.308587593186954612e-01 4.108268593700830085e-01 1.000000000000000000e+00 3.925210816639965183e-01 1.176957911611197921e-01
4.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 7.936491929752818031e-01 7.937734460916979762e-01 1.000000000000000000e+00 7.102738683534265407e-01 3.205537694558974193e-01
4.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.706870023984813800e-01 9.706853919273100706e-01 9.566594189518887736e-01 5.293796731594533345e-01 5.081873657252853338e-01
4.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.331713562002867057e-01 8.325278231911206195e-01 8.982763711445578281e-01 4.783324766104470327e-01 6.448532319968193205e-01
4.700000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00 8.413900718006627200e-01 9.999999443521347953e-01 9.808180845430327643e-01 2.642075860403024778e-01 1.930488041782617847e-01
4.800000000000000000e+01 1.000000000000000000e+00 6.868394309090191108e-01 1.000000038587030904e+00 9.999999754764095083e-01 1.000000000000000000e+00 3.599679329847632614e-01 2.462394769674199624e-01
4.900000000000000000e+01 1.000000000000000000e+00 9.699596429284618182e-01 8.470536148082183914e-01 1.000000021045698517e+00 7.579277044863536039e-01 2.462356207886803594e-01 1.910508536543643610e-01
5.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999973181872281e-01 9.999999973181872281e-01 1.000000000000000000e+00 1.271928300027967418e-01 9.754738363211248875e-02
5.100000000000000000e+01 1.000000000000000000e+00 8.551729220978251389e-01 9.999998308176500927e-01 1.000000017941230945e+00 8.331541483842425100e-01 3.621176173772906459e-01 2.218711985301105583e-01
5.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.957441625445069278e-01 9.957534443876036034e-01 9.957534430764800604e-01 1.204050811579363278e-01 1.391027852027616751e-01
5.300000000000000000e+01 1.000000000000000000e+00 8.564538125942482427e-01 9.989031152123089008e-01 1.000000037894060112e+00 8.564538125942482427e-01 5.543108633148162712e-01 1.512932167743439582e-01
5.400000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00 8.496055083205746872e-01 8.496055083205746872e-01 8.496054782001343231e-01 9.166732311196520988e-02 1.082012519077255597e-01
5.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000162896208522e+00 9.999999650304614018e-01 1.000000000000000000e+00 6.065435894491707502e-01 2.514869503252206151e-01
5.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000004003438692e+00 1.000000004003438692e+00 9.290592332641557372e-01 2.595547563752082509e-01 2.330268343172313128e-01
5.700000000000000000e+01 1.000000000000000000e+00 8.418974775667572574e-01 6.145618394056686640e-01 7.100448905254916898e-01 8.251189288811597855e-01 4.549642879235401005e-01 3.406955843082188351e-01
5.800000000000000000e+01 1.000000000000000000e+00 3.394394813688497159e-01 8.631351768261358304e-01 8.631351768261358304e-01 1.000000000000000000e+00 2.666547382002878441e-01 2.356519209584172769e-01
5.900000000000000000e+01 1.000000000000000000e+00 9.196840573948383835e-01 9.999999558520317189e-01 9.999999558520317189e-01 6.963622667167344016e-01 1.715778543900608188e-01 1.257645232898279564e-01
6.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999903649068322e-01 9.999999903649068322e-01 1.000000000000000000e+00 7.859091091124843775e-02 3.532247377282614065e-01
6.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.252677224902795539e-01 9.252677224902795539e-01 9.252677280533319060e-01 2.965373070910492029e-02 3.049845668671372079e-02
6.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999988981601329874e-01 1.000000047274916426e+00 1.000000000000000000e+00 3.274895312486339471e-01 2.081541949449741691e-01
6.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000005311858509e+00 1.000000005311858509e+00 1.000000000000000000e+00 2.241643344619660139e-01 1.174868566491577976e-01
6.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999995616913779362e-01 1.000000004407656684e+00 8.947102600106809911e-01 1.734434892252707527e-01 1.904522327309177698e-01
6.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000050944502838e+00 1.000000050944502838e+00 7.976820884651771859e-01 1.369179816369955616e-01 8.979998777401944354e-02
6.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.106053298101369764e-01 9.106294735463793533e-01 8.120653388725674882e-01 1.189312633598668539e-01 1.450538975148234766e-01
6.700000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000013435828672e+00 1.000000013435828672e+00 9.986323087751011185e-01 3.315712851979604747e-01 2.520479823421926668e-01
6.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.996116768673730668e-01 1.000000023994872311e+00 9.211742592718514810e-01 1.185100965534936490e-01 1.225225518656781337e-01
6.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.307079096433500620e-01 8.307079096433500620e-01 6.735359772425212332e-01 4.191541668165205126e-01 1.767390288729298597e-01
7.000000000000000000e+01 1.000000000000000000e+00 9.259770745854990492e-01 9.259568663622953499e-01 9.259770915427187887e-01 1.000000000000000000e+00 4.865247816255993119e-01 5.192784987651616335e-01
7.100000000000000000e+01 1.000000000000000000e+00 9.861525850605799004e-01 9.861526253578510870e-01 9.861526253578510870e-01 9.490887780488603820e-01 6.452082875413185370e-01 6.304403026083365003e-01
7.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.998987950252820278e-01 8.998987950252820278e-01 9.927610770526362760e-01 6.069362710790411342e-01 5.667422109164806932e-01
7.300000000000000000e+01 1.000000000000000000e+00 5.580715435712279016e-01 1.000000032420003793e+00 1.000000032420003793e+00 1.000000000000000000e+00 3.107492464264509646e-01 9.183610292837984801e-02
7.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999963917772095590e-01 9.999999925575701054e-01 1.000000000000000000e+00 4.574636508280227054e-01 4.419979532954854684e-01
7.500000000000000000e+01 1.000000000000000000e+00 9.376965096863389970e-01 7.347110019995557462e-01 7.345796861027449332e-01 9.931010728904663409e-01 7.840837302375393003e-01 7.045221344548220355e-01
7.600000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00 9.287396606314911596e-01 9.625510685163857216e-01 6.973530022742040479e-01 5.040482410814430825e-01 3.419048368348748812e-01
7.700000000000000000e+01 1.000000000000000000e+00 9.622894567345141592e-01 9.551446183312136684e-01 9.622895012836237827e-01 8.648716682315427118e-01 4.402174863738178012e-01 3.071964134258794443e-01
7.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.052602881934301848e-01 9.056063890141645700e-01 7.140859983061971228e-01 3.156116733004698527e-01 2.571622593083745523e-01
7.900000000000000000e+01 1.000000000000000000e+00 9.735872908348787158e-01 9.364088923890859784e-01 9.363114064471149689e-01 9.493968575639241125e-01 7.908446743736559092e-01 5.726715142215043075e-01
8.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.916691123902422467e-01 1.000000014843909435e+00 8.312247604889023700e-01 9.391735281943351665e-02 3.799846777248786639e-02
8.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000026195743130e+00 1.000000026195743130e+00 7.503772170404942043e-01 8.440653356101660010e-02 1.368716052948041606e-01
8.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999527808886013e-01 9.999999527808886013e-01 1.000000000000000000e+00 4.774622602574426500e-01 3.636648837776129684e-01
8.300000000000000000e+01 1.000000000000000000e+00 8.855246855457660216e-01 9.987696771413292485e-01 1.000000002757201356e+00 9.757753543408171915e-01 1.012612593857049881e-01 3.668530078111276738e-01
8.400000000000000000e+01 1.000000000000000000e+00 8.505831452293202144e-01 8.544071856852440972e-01 8.505831751959562759e-01 7.890921195893398910e-01 4.961592412452854768e-03 1.263758133100845518e-02
8.500000000000000000e+01 1.000000000000000000e+00 8.150419840710827479e-01 8.645583768757800769e-01 8.644342445307915401e-01 9.755299014351130893e-01 2.166128173449061167e-01 2.873066677301253646e-01
8.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999793261361569e-01 9.999999793261361569e-01 1.000000000000000000e+00 1.043608711506720382e-01 4.201113878128779483e-02
8.700000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.454795081883694774e-01 8.454795081883694774e-01 8.454795315814267465e-01 2.068850213296994645e-01 1.637340603355193491e-01
8.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000031481690366e+00 1.000000031481690366e+00 1.000000000000000000e+00 6.120847639015877112e-02 5.018994091505335486e-02
8.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 4.801802675805435146e-06 0.000000000000000000e+00 1.000000000000000000e+00 3.705193655345327963e-01 1.485348256826161395e-01
9.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999782807150739e-01 9.999999782807150739e-01 1.000000000000000000e+00 4.923623702595472662e-01 2.125494110588530272e-01
9.100000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.996492577408187197e-01 8.996492577408187197e-01 8.996492249220481296e-01 4.018272593995331210e-01 2.628193410748999037e-01
9.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999791476534838e-01 9.999999791476534838e-01 8.445899422762273012e-01 3.318657466988028659e-01 3.526757056720946082e-01
9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 8.722722093777819374e-01 8.610678579516262143e-01 9.692334370541003663e-01 4.013129841906415418e-01 3.105143636986542610e-01
9.400000000000000000e+01 1.000000000000000000e+00 9.462920431460674076e-01 9.462920691160473519e-01 9.462920691160473519e-01 9.462920431460674076e-01 2.128423334799268429e-01 2.213559472948556928e-01
9.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000024100645701e+00 1.000000024100645701e+00 9.261863817883573269e-01 3.020291172237847821e-01 3.307732871403704644e-01
9.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999829405504803e-01 9.999999829405504803e-01 6.790809339831866964e-01 7.320452588435320818e-02 2.138230342077943880e-01
9.700000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999989342274699933e-01 9.999999821745962914e-01 9.115088744693410350e-01 5.781027598953170088e-01 4.212848991441990876e-01
9.800000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000031394185029e+00 1.000000031394185029e+00 4.062758675944838638e-01 1.473210274081878657e-01 8.951345299307292280e-02
9.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.999785459197083615e-01 9.999999829539164553e-01 9.824927995901782118e-01 3.702285154182622384e-01 3.331501543155199196e-01
1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000039069085522e+00 1.000000039069085522e+00 7.193819695550546234e-01 2.793824260066019582e-01 2.363317171307751097e-01
1.010000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 8.956356007394505880e-01 8.956345576587921853e-01 1.000000000000000000e+00 4.172597266067623600e-01 1.499592945872311178e-01
1.020000000000000000e+02 1.000000000000000000e+00 9.833997253242533487e-01 9.833997374749317011e-01 9.833997374749317011e-01 9.833997253242533487e-01 2.800634694641712663e-01 3.201205741013727346e-01
1.030000000000000000e+02 1.000000000000000000e+00 8.968786745683100525e-01 9.996304033512471987e-01 9.999999930300658146e-01 8.968786745683100525e-01 2.256931752750939157e-01 1.670299718308204395e-01
1.040000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 9.999320754446066051e-01 9.999999493475286716e-01 7.915197367314737997e-01 3.205186678803397249e-01 1.996621618145352495e-01
1.050000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 8.756059469498850278e-01 8.756046106131787354e-01 8.756045992260821365e-01 5.668105538483054762e-01 5.619014048088591951e-01
1.060000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000037616248116e+00 1.000000037616248116e+00 6.577018568418879774e-01 7.623482256786787148e-02 7.370094025924550651e-02
