1.000000000000000000e+00 8.829849610674456173e+00 8.829849610674456173e+00 8.829849610674456173e+00 8.389281842065681616e+00 2.480745529499611024e+00 2.473569569705261539e+00
2.000000000000000000e+00 5.129842306178933775e+00 4.394449606309297707e+00 4.641985823957457846e+00 5.129842306178933775e+00 2.097745652398442129e+00 9.424650585435839778e-01
3.000000000000000000e+00 7.206594885492230596e+00 7.206594885492230596e+00 7.206594885492230596e+00 7.206594885492230596e+00 6.733016890157602630e-01 7.676111291240688139e-01
4.000000000000000000e+00 7.805551795129133552e+00 7.383308171745282422e+00 7.805551795129133552e+00 7.805551795129133552e+00 3.364941763223734394e+00 1.799319428037170265e+00
5.000000000000000000e+00 4.942382798761792984e+00 4.866536574391169268e+00 4.866536574391169268e+00 4.866536574391169268e+00 4.862938497552425909e-01 5.655852414698028241e-01
6.000000000000000000e+00 3.375714085167459633e+00 3.375714085167459633e+00 3.375714085167459633e+00 3.375714085167459633e+00 6.441800983298280325e-01 2.207412679345659157e-01
7.000000000000000000e+00 6.192722039774383624e+00 6.136901867520998977e+00 6.192722039774383624e+00 5.485280227003268116e+00 2.165183323032871421e+00 1.746140133518075732e+00
8.000000000000000000e+00 7.936026618879816752e+00 6.580550171686892824e+00 6.580550171686892824e+00 4.890135738973008905e+00 1.043519574491215796e+00 4.106364233476877068e+00
9.000000000000000000e+00 6.436769071434843781e+00 6.436769071434843781e+00 6.436769071434843781e+00 5.717015152747614515e+00 1.357221708507794777e-01 4.311039053515504094e-01
1.000000000000000000e+01 9.611415382030738641e+00 9.605834653241693388e+00 8.409344416180783099e+00 9.558421160432995833e+00 4.788351579655530266e+00 5.148433211656878505e+00
1.100000000000000000e+01 5.486459306069708219e+00 5.486459306069708219e+00 5.486459306069708219e+00 5.486459306069708219e+00 1.025340228801374876e+00 1.758180747017328516e+00
1.200000000000000000e+01 1.382971028008751446e+01 1.204823240875522217e+01 1.006748749274907340e+01 1.010105738679068743e+01 2.304401345877590934e+00 8.600109781087638794e+00
1.300000000000000000e+01 9.770112467471660622e+00 9.770112467471660622e+00 9.770112467471660622e+00 9.301088495114059995e+00 2.727977140650773347e+00 2.538673624295937792e+00
1.400000000000000000e+01 1.059953464526935107e+01 1.059953464526935107e+01 1.059953464526935107e+01 1.005061290313026490e+01 3.066445038518108568e+00 6.554437056753676494e+00
1.500000000000000000e+01 6.901767287281549201e+00 6.901767287281549201e+00 3.187987365066128564e+00 6.388151391092506515e+00 1.159356680253862182e+00 1.266621516320138419e+00
1.600000000000000000e+01 7.248628980136050615e+00 7.111921365015472674e+00 7.248628980136050615e+00 6.173698327336650138e+00 9.990582071818484566e-01 8.569879357440043366e-01
1.700000000000000000e+01 5.979290335526630251e+00 5.668994658797005926e+00 5.979290335526630251e+00 5.914613824439722833e+00 5.030025262290430677e-01 2.363012115496898158e+00
1.800000000000000000e+01 1.034335370387204023e+01 9.938661551063388444e+00 9.926449819931486118e+00 9.480535477686062862e+00 7.402851843952579003e+00 5.188219647630595510e+00
1.900000000000000000e+01 9.868965006392990347e+00 9.868965006392990347e+00 9.868965006392990347e+00 9.180913746889117988e+00 3.903890742651398682e+00 4.017671086581691142e+00
2.000000000000000000e+01 5.760646133520812562e+00 1.312588770892331391e+00 0.000000000000000000e+00 4.468203361730942014e+00 2.922350546761567358e+00 1.804331925896911715e+00
2.100000000000000000e+01 4.070381384595992635e+00 4.070381384595992635e+00 0.000000000000000000e+00 4.070381384595992635e+00 4.715957430334060119e-01 3.958566473829598364e-01
2.200000000000000000e+01 4.728354258324842796e+00 4.212046238648773588e+00 4.091045304394872240e+00 4.091045304394872240e+00 9.649334065359292945e-01 8.538917079595962356e-01
2.300000000000000000e+01 9.819552456986819777e+00 9.819552456986819777e+00 9.819552456986819777e+00 8.820323540046974387e+00 1.161574900813155953e+00 2.333614142359589305e+00
2.400000000000000000e+01 7.902535339911644918e+00 7.902535339911644918e+00 7.902535339911644918e+00 7.902535339911644918e+00 1.807572986250348679e+00 1.160361397343601997e+00
2.500000000000000000e+01 6.458423763605188661e+00 6.458423763605188661e+00 5.293992769592977155e+00 5.030467538296678143e+00 1.422791393669525117e+00 2.181779804966966108e+00
2.600000000000000000e+01 3.179870159383903161e+00 1.824453665612170372e+00 3.179870159383903161e+00 3.074094274749109790e+00 7.335348377786370389e-01 5.625898350680306192e-01
2.700000000000000000e+01 8.788629537555111781e+00 8.788629537555111781e+00 8.788629537555111781e+00 6.193929656843933707e+00 2.161642262844978291e+00 1.932347843046083202e+00
2.800000000000000000e+01 2.810325311174552976e+00 2.810325311174552976e+00 2.810325311174552976e+00 2.810325311174552976e+00 6.129267521531708285e-01 2.826743940628586582e-01
2.900000000000000000e+01 5.367103246198342781e+00 5.367103246198342781e+00 3.432694335114515383e+00 4.350755432048181603e+00 1.989731347081370672e+00 9.788877842658908479e-01
3.000000000000000000e+01 6.845403916999697636e+00 6.845403916999697636e+00 6.845403916999697636e+00 2.484343675591319300e+00 1.039656049432613916e+00 9.882649202569202540e-01
3.100000000000000000e+01 8.901699502651663209e+00 8.901699502651663209e+00 8.901699502651663209e+00 7.234917797129607031e+00 6.683323184959682806e+00 4.626896002685870535e+00
3.200000000000000000e+01 5.560734898259029002e+00 5.560734898259029002e+00 5.560734898259029002e+00 5.560734898259029002e+00 1.360236411497880660e+00 6.256631133944450252e-01
3.300000000000000000e+01 8.528759283682557424e+00 6.224902861417933586e+00 8.528759283682557424e+00 7.181460462610214535e+00 3.180059303382082536e+00 1.870821084562719117e+00
3.400000000000000000e+01 1.052945445644089162e+01 1.052945445644089162e+01 1.052945445644089162e+01 9.801953653525803389e+00 4.894035088635314557e-01 7.590202391165522533e-01
3.500000000000000000e+01 2.737217077418685029e+00 2.737217077418685029e+00 0.000000000000000000e+00 2.637985745729169995e+00 1.239075257484908987e-01 1.724172915664771710e-01
