method,average_capacity,average_ratio,median_ratio,minimum_ratio,maximum_ratio,std_ratio
Full-search,7.995967293953949,1.0,1.0,1.0,1.0,0.0
Supervised DNN,7.553212133188486,0.9258224302195902,1.0,0.0,1.0,0.1995762056237497
Unsupervised DNN soft,7.411646426262803,0.9010968325445802,0.9999880374418018,0.0,1.0000283899207787,0.21327588204407083
Unsupervised DNN hard,7.405868465155363,0.899676600257673,0.9999999719828575,0.0,1.0000000613801576,0.2300316858201287
DQN,7.216300999771717,0.8996838218636855,0.938278172076314,0.3083236735624565,1.0,0.11971617234927676
Random,2.7313031282335265,0.3057935961419951,0.2689721558248569,0.0021808987749005193,0.9676845586735856,0.193344804601702
All-max,2.637914531017848,0.28295392388061635,0.24951913340342402,0.012637581331008455,0.8803310462457504,0.16948200369437177
